Location	Total	Coal	Gas	Hydro	Nuclear	Wind	Solar	Oil	Biomass	Geothermal	Year
 Uzbekistan	76	6	62	7	0	0	0.4	2	0	0	2023
 Czech Republic	76	30	4	2	30	0.7	3	0.6	5	0	2023
 Israel	74	13	53	0	0	0.7	7	0.3	0.1	0	2023
 Austria	70	0	8	41	0	8	6	3	5	0	2023
 Switzerland	68	0	0	39	24	0.2	4	1	0	0	2023
 Peru	60	0.2	26	30	0	2	0.8	0.6	0.6	0	2023
 Singapore	57	0.6	53	0	0	0	0.9	1	2	0	2023
 Romania	57	8	9	18	11	8	2	0.2	0.4	0	2023
 Qatar	55	0	55	0	0	0	0.01	0	0.1	0	2023
 Laos	52	12	0	40	0	0	0.08	0	0.04	0	2023
 Greece	49	5	16	4	0	11	9	4	0.7	0	2023
 Portugal	46	0	10	12	0	13	5	1	4	0.2	2023
 Oman	45	0	42	0	0	0.1	2	1	0	0	2023
 Paraguay	44	0	0	44	0	0	0	0	0.2	0	2023
 New Zealand	44	1	3	26	0	4	0.4	0.7	0.7	8	2023
 Belarus	44	0.03	29	0.4	12	0.2	0.2	1	0.5	0	2023
 Nigeria	43	0	33	10	0	0	0.1	0	0.06	0	2023
 Morocco	42	27	4	0.5	0	7	2	2	0.04	0	2023
 Bulgaria	40	12	2	3	16	2	4	0.2	2	0	2023
 Serbia	38	23	1	12	0	0.9	0.02	0.07	0.2	0	2023
 Hong Kong	38	13	24	0	0	0	0.2	0.2	0.2	0	2023
 Bahrain	36	0	36	0	0	0	0.09	0	0	0	2023
 Hungary	36	2	7	0.2	16	0.6	7	0.5	2	0.02	2023
 Libya	35	0	27	0	0	0	0.01	8	0	0	2023
 Ecuador	34	0	1	26	0	0.06	0.04	7	0.4	0	2023
 Turkmenistan	34	0	34	0.01	0	0	0	0	0	0	2023
 Denmark	34	3	1	0.02	0	19	3	0.8	6	0	2023
 Ireland	31	1	15	0.9	0	12	0.7	0.7	0.8	0	2023
 Slovakia	30	1	2	5	18	0	0.6	1	1	0	2023
 Azerbaijan	29	0	27	2	0	0.08	0.07	0.1	0.1	0	2023
 North Korea	27	9	0	17	0	0	0.1	0.6	0	0	2023
 Myanmar	26	2	14	9	0	0	0.1	0.1	0.3	0	2023
 Dominican Republic	25	8	7	1	0	1	1	5	0.2	0	2023
 Ghana	24	0	14	9	0	0	0.1	0.4	0.02	0	2023
 Jordan	23	0	16	0.02	0	2	3	0.9	0	0	2023
 Tajikistan	22	1	0.3	20	0	0	0	0	0	0	2023
 Tunisia	21	0	20	0.01	0	0.3	0.5	0.2	0	0	2023
 Iceland	20	0	0	14	0	0.01	0	0	0	6	2023
 Syria	20	0	8	0.8	0	0	0.1	12	0.03	0	2023
 Puerto Rico	20	3	5	0.05	0	0.2	0.8	10	0.01	0	2023
 Mozambique	20	0	3	16	0	0	0.07	0.1	0.1	0	2023
 Zambia	19	2	0	17	0	0	0.1	0.01	0.08	0	2023
 Ethiopia	18	0	0	18	0	0.6	0.04	0	0.01	0.03	2023
 Angola	18	0	2	13	0	0	0.4	3	0.05	0	2023
 Croatia	17	1	4	8	0	3	0.4	0.05	1	0.02	2023
 Bosnia and Herzegovina	17	10	0.01	6	0	0.3	0.2	0.2	0.03	0	2023
 Sudan	17	0	0	12	0	0	0.1	5	0.1	0	2023
 DR Congo	16	0	0	14	0	0	2	0	0.03	0	2023
 Slovenia	16	3	0.5	5	6	0.01	1	0.01	0.3	0	2023
 Cuba	15	0	2	0.1	0	0.06	0.2	13	0.3	0	2023
 Georgia	14	0	3	11	0	0.09	0	0	0	0	2023
 Cambodia	14	8	0	5	0	0	0.8	0.05	0.01	0	2023
 Kyrgyzstan	14	2	0.1	12	0	0	0	0.04	0	0	2023
 Guatemala	13	2	0	6	0	0.3	0.2	1	3	0.3	2023
 Uruguay	13	0	0	4	0	5	0.5	1	3	0	2023
 Panama	13	0.5	3	6	0	0.9	0.9	2	0.04	0	2023
 Kenya	13	0	0	3	0	2	0.6	1	0.2	6	2023
 Bolivia	12	0	8	3	0	0.4	0.3	0.2	0.4	0	2023
 Costa Rica	12	0	0	9	0	1	0.08	0.01	0.06	2	2023
 Honduras	12	0	0	4	0	0.7	1	4	1	0.3	2023
 Bhutan	11	0	0	11	0	0	0	0	0	0	2023
 Ivory Coast	11	0	8	3	0	0	0.02	0.02	0.09	0	2023
 Tanzania	11	0	8	3	0	0	0.03	0.06	0.07	0	2023
 Nepal	11	0	0	11	0	0.01	0.1	0	0	0	2023
 Trinidad and Tobago	10	0	9	0	0	0	0.01	0.04	0	0	2023
 Albania	9	0	0	9	0	0	0.3	0	0	0	2023
 Armenia	9	0	4	2	3	0	0.8	0	0	0	2023
 Cameroon	8	0	2	5	0	0	0.02	1	0.04	0	2023
 Zimbabwe	8	3	0	5	0	0	0.03	0	0.1	0	2023
 Senegal	8	0.5	0.02	0.3	0	0.7	0.6	6	0.1	0	2023
 Mongolia	8	7	0	0.06	0	0.5	0.2	0.3	0	0	2023
 North Macedonia	7	2	1	2	0	0.2	0.5	0.7	0.1	0	2023
 El Salvador	6	0	0	2	0	0.1	1	0.6	0.9	2	2023
 Latvia	6	0	1	4	0	0.3	0.2	0	0.7	0	2023
 Kosovo	6	6	0	0.5	0	0.2	0.02	0.02	0	0	2023
 Estonia	6	0	0.02	0.03	0	0.8	0.7	3	1	0	2023
 Uganda	6	0	0	5	0	0	0.1	0.1	0.5	0	2023
 Brunei	6	1	4	0	0	0	0	0.05	0	0	2023
 Cyprus	5	0	0	0	0	0.2	0.8	4	0.05	0	2023
 Lithuania	5	0	0.6	0.4	0	3	0.7	0.3	0.8	0	2023
 Congo	5	0	4	1	0	0	0.01	0.3	0.01	0	2023
 Moldova	5	0	4	0.3	0	0.2	0.09	0.3	0.01	0	2023
 Papua New Guinea	5	0	0.9	1	0	0	0.01	3	0.01	0.1	2023
 Lebanon	5	0	0	0.7	0	0.01	1	2	0.03	0	2023
 Jamaica	4	0	2	0.1	0	0.3	0.1	2	0.06	0	2023
 Nicaragua	4	0	0	0.7	0	0.6	0.03	2	0.9	0.7	2023
 Mali	4	0	0	2	0	0	0.1	2	0.07	0	2023
 Montenegro	4	2	0	2	0	0.3	0	0	0	0	2023
 Guinea	4	0	0	3	0	0	0.03	1	0	0	2023
 Réunion	3	0.9	0	0.6	0	0	0.3	1	0.2	0	2022
 Mauritius	3	1	0	0.09	0	0.01	0.1	2	0.3	0	2023
 Gabon	3	0	1	2	0	0	0	0.5	0.01	0	2023
 New Caledonia	3	1	0	0.5	0	0.04	0.2	1	0	0	2023
 Yemen	3	0	0.6	0	0	0	0.5	2	0	0	2023
 Madagascar	3	0.5	0	0.8	0	0	0.08	1	0.03	0	2023
 Botswana	3	2	0	0	0	0	0.01	0.1	0	0	2023
 Malta	2	0	2	0	0	0	0.3	0.02	0.01	0	2023
 Suriname	2	0	0.02	0.9	0	0	0.01	1	0.01	0	2023
 Bahamas	2	0	0	0	0	0	0.02	2	0	0	2023
 Namibia	2	0.03	0	1	0	0.02	0.5	0.01	0	0	2023
 Malawi	2	0	0	2	0	0	0.01	0.08	0.05	0	2023
 Guam	2	0	0	0	0	0	0.1	2	0	0	2023
 Burkina Faso	2	0	0	0.1	0	0	0.09	1	0.09	0	2023
 Guadeloupe	2	0.2	0	0.01	0	0.1	0.1	0.8	0.2	0.1	2022
 Mauritania	2	0	0	0.2	0	0.1	0.1	1	0	0	2023
 Equatorial Guinea	2	0	1	0.5	0	0	0	0.01	0	0	2023
 Martinique	1	0	0	0	0	0.04	0.09	1	0.2	0.01	2022
 Luxembourg	1	0	0.09	0.09	0	0.5	0.3	0.06	0.4	0	2023
 Guyana	1	0	0.01	0	0	0	0.02	1	0.07	0	2023
 Fiji	1	0	0	0.6	0	0	0.01	0.4	0.1	0	2023
 Barbados	1	0	0.03	0	0	0	0.09	1	0	0	2023
 Rwanda	1	0.05	0.2	0.6	0	0	0.04	0.2	0	0	2023
 Palestine	1	0	0	0	0	0	0.3	0.7	0	0	2023
 Haiti	1	0	0	0.2	0	0	0	0.8	0	0	2023
 Aruba	1	0	0	0	0	0.1	0.03	0.8	0	0	2023
 Benin	1	0	0.7	0	0	0	0.03	0.2	0	0	2023
 French Guiana	1	0	0	0.6	0	0	0.05	0.3	0.05	0	2022
 Afghanistan	1	0.03	0	0.8	0	0	0.09	0.1	0	0	2023
 Togo	0.9	0	0.7	0.08	0	0	0.1	0.07	0	0	2023
 Maldives	0.8	0	0	0	0	0	0.06	0.8	0	0	2023
 Niger	0.8	0.2	0.05	0	0	0	0.02	0.6	0	0	2023
 French Polynesia	0.7	0	0	0.2	0	0	0.05	0.5	0	0	2023
 Cayman Islands	0.7	0	0	0	0	0	0.02	0.7	0	0	2023
 U.S. Virgin Islands	0.7	0	0	0	0	0	0.02	0.7	0	0	2023
 Bermuda	0.6	0	0	0	0	0	0	0.6	0.01	0	2023
 Seychelles	0.6	0	0	0	0	0.01	0.08	0.5	0	0	2023
 South Sudan	0.6	0	0	0	0	0	0.04	0.6	0	0	2023
 Eswatini	0.6	0.02	0	0.3	0	0	0.03	0	0.2	0	2023
 Greenland	0.5	0	0	0.5	0	0	0	0.07	0	0	2023
 Gambia	0.5	0	0	0	0	0	0	0.5	0	0	2023
 Timor-Leste	0.5	0	0	0	0	0	0	0.5	0	0	2023
 Cape Verde	0.5	0	0	0	0	0.07	0.07	0.4	0	0	2023
 Macau	0.5	0	0.2	0	0	0	0	0.04	0.2	0	2023
 Faroe Islands	0.5	0	0	0.1	0	0.09	0	0.3	0	0	2023
 Lesotho	0.5	0	0	0.5	0	0	0	0	0	0	2023
 Belize	0.4	0	0	0.2	0	0	0.01	0.05	0.1	0	2023
 Eritrea	0.4	0	0	0	0	0	0.05	0.4	0	0	2023
 Somalia	0.4	0	0	0	0	0.01	0.07	0.3	0	0	2023
 Saint Lucia	0.4	0	0	0	0	0	0.01	0.4	0	0	2023
 Burundi	0.4	0	0	0.3	0	0	0	0.1	0.01	0	2023
 Chad	0.4	0	0	0	0	0.01	0	0.4	0.01	0	2023
 Liberia	0.4	0	0	0.1	0	0	0	0.3	0	0	2023
 Antigua and Barbuda	0.4	0	0	0	0	0	0.02	0.3	0	0	2023
 Turks and Caicos Islands	0.3	0	0	0	0	0	0	0.3	0	0	2023
 Grenada	0.2	0	0	0	0	0	0	0.2	0	0	2023
 Gibraltar	0.2	0	0.2	0	0	0	0	0	0	0	2023
 Saint Kitts and Nevis	0.2	0	0	0	0	0.01	0	0.2	0	0	2023
 Sierra Leone	0.2	0	0	0.2	0	0	0.02	0.01	0	0	2023
 Djibouti	0.2	0	0	0	0	0.07	0	0.1	0	0	2023
 American Samoa	0.2	0	0	0	0	0	0	0.2	0	0	2023
 British Virgin Islands	0.2	0	0	0	0	0	0	0.2	0	0	2023
 Dominica	0.1	0	0	0.02	0	0	0	0.1	0	0	2023
 Saint Vincent and the Grenadines	0.1	0	0	0.02	0	0	0	0.1	0	0	2023
 Samoa	0.1	0	0	0.03	0	0	0.02	0.09	0.01	0	2023
 Central African Republic	0.1	0	0	0.1	0	0	0	0	0	0	2023
 Comoros	0.1	0	0	0	0	0	0	0.1	0	0	2023
 Solomon Islands	0.1	0	0	0	0	0	0.01	0.1	0	0	2023
 Sao Tome & Principe	0.09	0	0	0.01	0	0	0	0.08	0	0	2023
 Guinea-Bissau	0.08	0	0	0	0	0	0	0.08	0	0	2023
 Vanuatu	0.08	0	0	0.01	0	0	0.01	0.06	0	0	2023
 Tonga	0.07	0	0	0	0	0	0.01	0.06	0	0	2023
 Saint Pierre and Miquelon	0.05	0	0	0	0	0	0	0.05	0	0	2023
 Cook Islands	0.04	0	0	0	0	0	0.02	0.02	0	0	2023
 Kiribati	0.04	0	0	0	0	0	0.01	0.03	0	0	2023
 Nauru	0.04	0	0	0	0	0	0	0.04	0	0	2023
 Falkland Islands	0.01	0	0	0	0	0	0	0.01	0	0	2023
 Montserrat	0.01	0	0	0	0	0	0	0.01	0	0	2023
 Saint Helena, Ascension and Tristan da Cunha	0.01	0	0	0	0	0	0	0.01	0	0	2023
