Rank	Country/Economy	Total GDP (US$MM)	Agricultural (%)	Industrial (%)	Service (%)	Agricultural (US$MM)	Industrial (US$MM)	Service (US$MM)
165	 Timor-Leste	7,426	9.1%	56.7%	34.4%	676	4,211	2,555
166	 Bhutan	7,205	16.2%	41.8%	42.0%	1,167	3,012	3,026
167	 Maldives	6,901	3.0%	16.0%	81.0%	207	1,104	5,590
168	 Isle of Man	6,792	1.0%	13.0%	86.0%	68	883	5,841
169	 Lesotho	6,656	5.8%	39.2%	54.9%	386	2,609	3,654
170	 Guyana	6,301	15.4%	15.3%	69.3%	970	964	4,367
171	 Bermuda	6,127	0.9%	5.3%	93.8%	55	325	5,747
172	 Liberia	6,112	34.0%	13.8%	52.2%	2,078	843	3,190
173	 Jersey	5,569	2.0%	2.0%	96.0%	111	111	5,346
174	 Gambia	5,556	20.4%	14.2%	65.4%	1,133	789	3,634
175	 French Polynesia	5,490	2.5%	13.0%	84.5%	137	714	4,639
176	 Barbados	5,218	1.5%	9.8%	88.7%	78	511	4,628
177	 Liechtenstein	4,978	7.0%	41.0%	52.0%	348	2,041	2,589
178	 Aruba	4,158	0.4%	33.3%	66.3%	17	1,385	2,757
179	 Cape Verde	3,777	8.9%	17.5%	73.7%	336	661	2,784
180	 Djibouti	3,640	2.4%	17.3%	80.2%	87	630	2,919
181	 Guernsey	3,465	3.0%	10.0%	87.0%	104	347	3,015
182	 Central African Republic	3,390	43.2%	16.0%	40.8%	1,464	542	1,383
183	 Andorra	3,327	11.9%	33.6%	54.5%	396	1,118	1,813
184	 Belize	3,218	10.3%	21.6%	68.0%	331	695	2,188
185	 Guinea-Bissau	3,171	50.0%	13.1%	36.9%	1,586	415	1,170
186	 Curaçao	3,128	0.7%	15.5%	83.8%	22	485	2,621
187	 Seychelles	2,750	2.5%	13.8%	83.7%	69	380	2,302
188	 Saint Lucia	2,542	2.9%	14.2%	82.8%	74	361	2,105
189	 Cayman Islands	2,507	0.3%	7.4%	92.3%	8	186	2,314
190	 Greenland	2,413	15.9%	10.1%	73.9%	384	244	1,783
191	 Antigua and Barbuda	2,398	1.8%	20.8%	77.3%	43	499	1,854
192	 San Marino	2,064	0.1%	39.2%	60.7%	2	809	1,253
193	 Gibraltar	2,044	0.0%	0.0%	100.0%	0	0	2,044
194	 Faroe Islands	2,001	18.0%	39.0%	43.0%	360	780	860
195	 Grenada	1,634	6.8%	15.5%	77.7%	111	253	1,270
196	 Saint Kitts and Nevis	1,550	1.1%	30.0%	68.9%	17	465	1,068
197	 Solomon Islands	1,330	34.3%	7.6%	58.1%	456	101	773
198	 Comoros	1,319	47.7%	11.8%	40.5%	629	156	534
199	 Saint Vincent and the Grenadines	1,265	7.1%	17.4%	75.5%	90	220	955
200	 Northern Mariana Islands	1,242	1.7%	58.1%	40.2%	21	722	499
201	 Samoa	1,137	10.4%	23.6%	66.0%	118	268	750
202	 Dominica	783	22.3%	12.6%	65.1%	175	99	510
203	 Vanuatu	772	27.3%	11.8%	60.8%	211	91	469
204	 Sao Tome and Principe	686	11.8%	14.8%	73.4%	81	102	504
205	 American Samoa	658	27.4%	12.4%	60.2%	180	82	396
206	 Turks and Caicos Islands	632	0.5%	8.9%	90.6%	3	56	573
207	 Tonga	591	19.9%	20.3%	59.8%	118	120	353
208	 Saint Martin (French part)	562	1.0%	15.0%	84.0%	6	84	472
209	 Virgin Islands, British	500	0.2%	6.8%	93.1%	1	34	466
210	 Sint Maarten (Dutch part)	366	0.4%	18.3%	81.3%	1	67	298
211	 Micronesia, Federated States of	348	26.3%	18.9%	54.8%	92	66	191
212	 Cook Islands	300	5.1%	12.7%	82.1%	15	38	246
213	 Palau	264	3.0%	19.0%	78.0%	8	50	206
214	 Saint Pierre and Miquelon	261	2.0%	15.0%	83.0%	5	39	217
215	 Kiribati	227	23.0%	7.0%	70.0%	52	16	159
216	 Marshall Islands	196	4.4%	9.9%	85.7%	9	19	168
217	 Anguilla	175	3.0%	10.5%	86.4%	5	18	151
218	 Montserrat	167	1.9%	7.8%	90.3%	3	13	151
219	 Nauru	160	6.1%	33.0%	60.8%	10	53	97
220	 Tuvalu	42	24.5%	5.6%	70.0%	10	2	29
221	 Niue	10	23.5%	26.9%	49.5%	2	3	5
